batch,case,q,phase,completed_calls,started_calls,generate_s,evaluate_s,wall_s,historical_reuses,peak_mib,status
FINAL_accelerated,case_007,3,search_1,4,4,1.4723263999958363,2.948005500000363,4.961179400000219,6,86.01953125,complete
FINAL_accelerated,case_008,1,baseline_1,1,1,0,0.3176117000002705,0.5940441000002465,0,44.109375,complete
FINAL_accelerated,case_008,1,search_1,8,8,0.2068345000016052,2.007327900000746,2.568953299999521,6,40.19921875,complete
FINAL_accelerated,case_008,2,baseline_1,1,1,0,0.16521749999992608,0.3928765000000567,0,44.08203125,complete
FINAL_accelerated,case_008,2,search_1,4,4,0.2786759999999049,0.6462373000003936,1.2664089999998396,6,41.15625,complete
FINAL_accelerated,case_008,3,baseline_1,1,1,0,0.2509242999994967,0.48408440000002884,0,43.96875,complete
FINAL_accelerated,case_008,3,search_1,4,4,0.38303569999789033,0.7521249999999782,1.5124669999995604,6,40.8984375,complete
FINAL_accelerated,case_009,1,baseline_1,1,1,0,4.742778499999986,5.114561700000195,0,117.36328125,complete
FINAL_accelerated,case_009,1,search_1,16,16,7.526485200000934,112.62419129999944,120.89477119999992,6,166.78515625,complete
FINAL_accelerated,case_009,2,baseline_1,1,1,0,1.3104702999999063,1.6408165000002555,0,117.421875,complete
FINAL_accelerated,case_009,2,search_1,16,16,2.876875400001154,23.81054210000093,27.525049699999727,6,136.09765625,complete
FINAL_accelerated,case_009,3,baseline_1,1,1,0,1.3558177000004434,1.6673240999998598,0,117.37109375,complete
FINAL_accelerated,case_009,3,search_1,28,28,4.25538890000189,41.75693109999702,47.03752800000075,6,152.37109375,complete
FINAL_accelerated,case_010,1,baseline_1,1,1,0,0.13740409999991243,0.38298630000008416,0,33.53125,complete
FINAL_accelerated,case_010,1,search_1,16,16,0.16658869999901071,2.167617099999916,2.7042437999998583,6,33.828125,complete
FINAL_accelerated,case_010,2,baseline_1,1,1,0,0.08157849999952305,0.3151212000002488,0,33.77734375,complete
FINAL_accelerated,case_010,2,search_1,16,16,0.13490859999910754,1.8330380000015793,2.3288714999998774,6,34.80078125,complete
FINAL_accelerated,case_010,3,baseline_1,1,1,0,0.08391490000030899,0.308932800000548,0,33.6875,complete
FINAL_accelerated,case_010,3,search_1,28,28,0.20923399999901449,3.303789799999322,3.9631775999996535,6,36.33203125,complete
FINAL_accelerated,case_011,1,baseline_1,1,1,0,0.16935799999919254,0.41246010000031674,0,34.76953125,complete
FINAL_accelerated,case_011,1,search_1,8,8,0.11501309999948717,1.308865800001513,1.772154500000397,6,36.53125,complete
FINAL_accelerated,case_011,2,baseline_1,1,1,0,0.09846169999946142,0.3304945999998381,0,34.7265625,complete
FINAL_accelerated,case_011,2,search_1,9,9,0.1798241999995298,1.3431927000010546,1.8892888999998831,6,45.609375,complete
FINAL_accelerated,case_011,3,baseline_1,1,1,0,0.10438520000025164,0.3434867999994822,0,34.578125,complete
FINAL_accelerated,case_011,3,search_1,18,18,0.2079118000001472,2.8735808999990695,3.4735117999998693,6,46.296875,complete
FINAL_accelerated,case_012,1,baseline_1,1,1,0,0.2890103999998246,0.5478980999996566,0,40.82421875,complete
FINAL_accelerated,case_012,1,search_1,16,16,0.22166309999920486,3.69503000000077,4.350967100000162,6,38.984375,complete
FINAL_accelerated,case_012,2,baseline_1,1,1,0,0.153443199999856,0.4256005000006553,0,40.8515625,complete
FINAL_accelerated,case_012,2,search_1,16,16,0.1760552000005191,2.6708944999991218,3.2363021000001027,6,43.828125,complete
FINAL_accelerated,case_012,3,baseline_1,1,1,0,0.1496420000003127,0.41045889999986684,0,40.86328125,complete
FINAL_accelerated,case_012,3,search_1,28,28,0.2637140000033469,5.090133499998956,5.795339899999817,6,44.6796875,complete
FINAL_accelerated,case_013,1,baseline_1,1,1,0,1.1924983999997494,1.4410523000005924,0,64.1328125,complete
FINAL_accelerated,case_013,1,search_1,12,12,0.3679308000000674,10.482825699999921,11.30859060000057,6,63.33203125,complete
FINAL_accelerated,case_013,2,baseline_1,1,1,0,0.49952510000002803,0.7684293000002071,0,63.80859375,complete
FINAL_accelerated,case_013,2,search_1,4,4,0.7398223999998663,1.5050007999998343,2.6272253999995883,6,59.453125,complete
FINAL_accelerated,case_013,3,baseline_1,1,1,0,0.47439140000005864,0.7438388000000486,0,63.38671875,complete
FINAL_accelerated,case_013,3,search_1,4,4,0.9961681999939174,1.7357767999992575,3.14087230000041,6,59.50390625,complete
