q,k,comparison,group_type,group,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
2,3,单核基准,计算关键路径,第3四分位，6300—23904,25,2.684092977990547,2.8450417463692563,1.6112496629819357,case_005,25,0,0
2,3,单核基准,计算关键路径,第4四分位，27474—863040,25,2.7676379532322426,2.682091966401558,2.167830861088618,case_088,25,0,0
2,3,单核基准,弱连通分量,单分量,16,2.3211339349575444,2.605290499055752,1.5318630437431462,case_069,16,0,0
2,3,单核基准,弱连通分量,多分量,84,2.9033118938920643,2.9718736057848316,2.167830861088618,case_088,84,0,0
2,4,单核基准,计算节点规模,第1四分位，552—1098,25,3.534075791559738,3.765855952700887,1.609731113956466,case_069,25,0,0
2,4,单核基准,计算节点规模,第2四分位，1115—3696,25,3.742377489550049,3.915089514066496,2.2943338564466838,case_048,25,0,0
2,4,单核基准,计算节点规模,第3四分位，3745—7008,25,3.4283108267699487,3.70548806032677,1.74625611805099,case_005,25,0,0
2,4,单核基准,计算节点规模,第4四分位，7360—35705,25,3.5563782165542537,3.909981698981382,2.2649007163452506,case_056,25,0,0
2,4,单核基准,计算关键路径,第1四分位，400—2484,25,3.7022236823347168,3.938503375843961,1.609731113956466,case_069,25,0,0
2,4,单核基准,计算关键路径,第2四分位，2506—5980,25,3.798590378506651,3.954142345770583,1.6990489734245844,case_064,25,0,0
2,4,单核基准,计算关键路径,第3四分位，6300—23904,25,3.3151769843413468,3.698433339525667,1.74625611805099,case_005,25,0,0
2,4,单核基准,计算关键路径,第4四分位，27474—863040,25,3.4451512792512746,3.408080726901403,2.2943338564466838,case_048,25,0,0
2,4,单核基准,弱连通分量,单分量,16,2.7705388711236747,3.3034040491736856,1.609731113956466,case_069,16,0,0
2,4,单核基准,弱连通分量,多分量,84,3.716665906819892,3.9158574530874004,2.2649007163452506,case_056,84,0,0
2,5,单核基准,计算节点规模,第1四分位，552—1098,25,4.04062929069447,4.441391879195391,1.6990489734245844,case_064,25,0,0
2,5,单核基准,计算节点规模,第2四分位，1115—3696,25,4.417993436518395,4.68018463567425,2.2943338564466838,case_048,25,0,0
2,5,单核基准,计算节点规模,第3四分位，3745—7008,25,3.9695377673745247,4.290713790713791,1.7853501876505407,case_005,25,0,0
2,5,单核基准,计算节点规模,第4四分位，7360—35705,25,4.236180114946842,4.637681480764002,2.3268215727244503,case_056,25,0,0
2,5,单核基准,计算关键路径,第1四分位，400—2484,25,4.402700518175778,4.801024308209754,1.774099774943736,case_071,25,0,0
2,5,单核基准,计算关键路径,第2四分位，2506—5980,25,4.55698770468388,4.846823653370178,1.6990489734245844,case_064,25,0,0
2,5,单核基准,计算关键路径,第3四分位，6300—23904,25,3.797595389249841,4.230763861670542,1.7853501876505407,case_005,25,0,0
2,5,单核基准,计算关键路径,第4四分位，27474—863040,25,3.9070569974247324,3.6983213203957583,2.2943338564466838,case_048,25,0,0
2,5,单核基准,弱连通分量,单分量,16,3.0710492174612893,3.658052036371238,1.6990489734245844,case_064,16,0,0
2,5,单核基准,弱连通分量,多分量,84,4.374663425702085,4.678387031429422,2.3268215727244503,case_056,84,0,0
3,1,L2共同候选池,计算节点规模,第1四分位，552—1098,25,1.0051793807999916,1.0,1.0,case_001,2,23,0
3,1,L2共同候选池,计算节点规模,第2四分位，1115—3696,25,1.0181761082615788,1.0,1.0,case_002,6,19,0
3,1,L2共同候选池,计算节点规模,第3四分位，3745—7008,25,1.0052498534925927,1.0,1.0,case_005,8,17,0
3,1,L2共同候选池,计算节点规模,第4四分位，7360—35705,25,1.00588152011112,1.0,1.0,case_003,9,16,0
3,1,L2共同候选池,计算关键路径,第1四分位，400—2484,25,1.0007242089656005,1.0,1.0,case_001,4,21,0
3,1,L2共同候选池,计算关键路径,第2四分位，2506—5980,25,1.0006402069631954,1.0,1.0,case_002,8,17,0
3,1,L2共同候选池,计算关键路径,第3四分位，6300—23904,25,1.0174066819764316,1.0,1.0,case_005,5,20,0
3,1,L2共同候选池,计算关键路径,第4四分位，27474—863040,25,1.0157157647600554,1.0,1.0,case_003,8,17,0
3,1,L2共同候选池,弱连通分量,单分量,16,1.0,1.0,1.0,case_002,0,16,0
3,1,L2共同候选池,弱连通分量,多分量,84,1.0102639472218105,1.0,1.0,case_001,25,59,0
3,2,L2共同候选池,计算节点规模,第1四分位，552—1098,25,1.0013691503428528,1.0,1.0,case_001,7,18,0
