case,q,k,selected,effective_origin,seed_makespan,selected_makespan,cycles_saved,fraction_saved,added_copy_bytes
case_013,3,5,a2_b1,a2_b1,54363,54363,0,0.0,32768
case_014,1,2,local,local,9156471,8897730,258741,0.028257720687369647,71757240
case_014,1,3,local,local,6175981,5985661,190320,0.030816156979757592,77714952
case_014,1,4,local,local,4699204,4526524,172680,0.03674664900693825,81855384
case_014,1,5,local,local,3822600,3665839,156761,0.041008999110553,88683816
case_014,2,2,a4_b0,a4_b0,12497513,9224593,3272920,0.261885704779823,49096632
case_014,2,3,a4_b0,a4_b0,9139445,6082977,3056468,0.3344259963269104,54333960
case_014,2,4,a4_b0,a4_b0,7871876,4589404,3282472,0.416987259453782,45833112
case_014,2,5,a4_b0,a4_b0,7132110,3682323,3449787,0.48369795193848664,65525544
case_014,3,2,a4_b0,a4_b0,12496064,9176280,3319784,0.2656663730275389,49096632
case_014,3,3,a4_b0,a4_b0,9118147,6078533,3039614,0.33335874054234926,54333960
case_014,3,4,a4_b0,a4_b0,7822929,4567137,3255792,0.4161858045752429,45833112
case_014,3,5,a4_b0,a4_b0,7023469,3672085,3351384,0.4771693304263178,65525544
case_015,1,2,budget_0.05,budget_0.05,105789,94700,11089,0.10482186238644853,1183880
case_015,1,3,budget_0.05,budget_0.05,75357,64598,10759,0.14277373037674002,1190786
case_015,1,4,budget_0.05,budget_0.05,57813,52586,5227,0.09041219102969922,1183880
case_015,1,5,budget_0.05,budget_0.05,57827,46094,11733,0.20289830010202847,1301154
case_015,2,2,a2_b1,a2_b1,88170,88170,0,0.0,208212
case_015,2,3,a2_b1,a2_b1,61071,61071,0,0.0,367244
case_015,2,4,a2_b1,a2_b1,50885,50885,0,0.0,559004
case_015,2,5,a2_b1,a2_b1,48435,48435,0,0.0,1002784
case_015,3,2,a2_b1,a2_b1,87773,87773,0,0.0,208212
case_015,3,3,a2_b1,a2_b1,59563,59563,0,0.0,367244
case_015,3,4,cache_order_1,cache_order_1,50630,48819,1811,0.03576930673513723,559004
case_015,3,5,a2_b1,a2_b1,45024,45024,0,0.0,1002784
case_016,1,2,budget_0.10,budget_0.10,5619110,5376062,243048,0.04325382489397789,119560208
case_016,1,3,budget_0.10,budget_0.10,4733422,4697398,36024,0.007610561661309689,119560208
case_016,1,4,local,local,4271036,4229670,41366,0.009685237961000515,119561444
case_016,1,5,local,local,4059962,3997130,62832,0.015476006918291318,119565088
case_016,2,2,traffic_price,traffic_price,4026549,4025531,1018,0.0002528219574627899,10976
case_016,2,3,a2_b1,a2_b1,2876720,2876720,0,0.0,12200
case_016,2,4,traffic_price,traffic_price,2238959,2238955,4,1.7865445504083866e-06,15848
case_016,2,5,traffic_price,traffic_price,2087323,2086223,1100,0.0005269907915544936,18892
case_016,3,2,traffic_price,traffic_price,4025717,4025531,186,4.6202949685714145e-05,10976
case_016,3,3,a2_b1,a2_b1,2876720,2876720,0,0.0,12200
case_016,3,4,traffic_price,traffic_price,2238959,2238955,4,1.7865445504083866e-06,15848
case_016,3,5,traffic_price,traffic_price,2086359,2086223,136,6.518533004151728e-05,18892
case_017,1,2,local,local,94548,81543,13005,0.13754918136819394,87552
case_017,1,3,local,local,65033,54533,10500,0.16145649131979145,175104
case_017,1,4,local,local,49856,41486,8370,0.16788350449293965,258048
case_017,1,5,local,local,42112,33667,8445,0.2005366641337386,338688
case_017,2,2,release_order_8,release_order_8,81236,75907,5329,0.06559899551922788,87552
case_017,2,3,release_order_8,release_order_8,56461,48882,7579,0.13423425019039692,175104
case_017,2,4,release_order_8,release_order_8,45456,35816,9640,0.21207321365716292,258048
case_017,2,5,release_order_8,release_order_8,37945,29224,8721,0.22983265252338914,337536
case_017,3,2,release_order_8,release_order_8,81236,75907,5329,0.06559899551922788,87552
case_017,3,3,release_order_8,release_order_8,56461,48882,7579,0.13423425019039692,175104
case_017,3,4,release_order_8,release_order_8,45456,35816,9640,0.21207321365716292,258048
case_017,3,5,release_order_8,release_order_8,37945,29224,8721,0.22983265252338914,337536
case_018,1,2,local,local,529285,501104,28181,0.053243526644435435,2896896
case_018,1,3,local,local,356757,341470,15287,0.04284989502658676,4200448
case_018,1,4,local,local,270580,254060,16520,0.06105403207923721,4893696
case_018,1,5,local,local,219318,203138,16180,0.07377415442416946,5513216
case_018,2,2,a2_b1,a2_b1,507586,507586,0,0.0,5742536
case_018,2,3,a2_b1,a2_b1,339718,339718,0,0.0,7039688
case_018,2,4,a2_b1,a2_b1,257102,257102,0,0.0,6341896
case_018,2,5,release_order_8,release_order_8,210753,210013,740,0.0035112192946245013,4706304
case_018,3,2,release_order_8,release_order_8,506318,502882,3436,0.006786248958164598,5717960
case_018,3,3,release_order_8,release_order_8,339284,337036,2248,0.0066257176878367074,7023304
case_018,3,4,a2_b1,a2_b1,256065,256065,0,0.0,6341896
case_018,3,5,release_order_8,release_order_8,210445,209728,717,0.003407065979234458,4706304
case_019,1,2,local,local,50090,43884,6206,0.12389698542623273,93736
case_019,1,3,budget_0.05,budget_0.05,33870,29983,3887,0.11476232654266316,226848
case_019,1,4,budget_0.05,budget_0.05,25746,23172,2574,0.09997669540899556,226848
case_019,1,5,budget_0.05,budget_0.05,22056,19518,2538,0.11507072905331883,202272
case_019,2,2,traffic_price,traffic_price,41601,39422,2179,0.05237854859258195,33312
case_019,2,3,a4_b0,a4_b0,27175,27032,143,0.005262189512419524,191304
case_019,2,4,traffic_price,traffic_price,21361,21250,111,0.005196385936988013,69220
case_019,2,5,a4_b0,a4_b0,18152,17918,234,0.01289114147201409,435072
case_019,3,2,cache_price,cache_price,41601,39422,2179,0.05237854859258195,33312
case_019,3,3,a4_b0,a4_b0,27175,27032,143,0.005262189512419524,191304
case_019,3,4,cache_price,cache_price,21361,21250,111,0.005196385936988013,69220
case_019,3,5,a4_b0,a4_b0,18152,17806,346,0.019061260467166163,435072
case_020,1,2,local,local,320348,266580,53768,0.16784247131244767,0
case_020,1,3,local,local,226780,177950,48830,0.21531881118264395,0
case_020,1,4,local,local,179996,133704,46292,0.25718349296651033,0
case_020,1,5,local,local,151907,107650,44257,0.29134272943314,0
case_020,2,2,a2_b1,a2_b1,266580,266580,0,0.0,0
case_020,2,3,a2_b1,a2_b1,177950,177950,0,0.0,0
case_020,2,4,a2_b1,a2_b1,133704,133704,0,0.0,0
case_020,2,5,a2_b1,a2_b1,107650,107650,0,0.0,0
case_020,3,2,a2_b1,a2_b1,266580,266580,0,0.0,0
case_020,3,3,a2_b1,a2_b1,177950,177950,0,0.0,0
case_020,3,4,a2_b1,a2_b1,133704,133704,0,0.0,0
case_020,3,5,a2_b1,a2_b1,107650,107650,0,0.0,0
case_021,1,2,fine,fine,3162700,3162700,0,0.0,18124800
case_021,1,3,local,local,2144592,2144024,568,0.00026485224229133575,7766016
case_021,1,4,local,local,1596380,1550324,46056,0.028850273744346566,4608000
case_021,1,5,local,local,1283116,1250168,32948,0.02567811483918836,11431936
case_021,2,2,a4_b0,a4_b0,4562574,3194570,1368004,0.29983163012808123,3174400
case_021,2,3,a4_b0,a4_b0,3123788,2144024,979764,0.31364612451293106,7766016
case_021,2,4,a4_b0,a4_b0,2558861,1550324,1008537,0.3941351249638022,4608000
case_021,2,5,a4_b0,a4_b0,2209557,1250168,959389,0.4341997060949322,11431936
case_021,3,2,a4_b0,a4_b0,4562574,3193634,1368940,0.30003677748569124,3174400
case_021,3,3,a4_b0,a4_b0,3125668,2142851,982817,0.31443422653973485,7766016
case_021,3,4,a4_b0,a4_b0,2558330,1550324,1008006,0.39400937330211505,4608000
case_021,3,5,a4_b0,a4_b0,2205275,1249380,955895,0.43345841221616355,11431936
case_022,1,2,local,local,31506,28537,2969,0.09423601853615182,6912
case_022,1,3,local,local,21064,18953,2111,0.10021838207368017,13824
case_022,1,4,budget_0.05,budget_0.05,19190,16348,2842,0.14809796769150596,54828
case_022,1,5,budget_0.05,budget_0.05,18003,13075,4928,0.2737321557518192,79464
case_022,2,2,traffic_price,traffic_price,28382,28353,29,0.0010217743640335009,6912
case_022,2,3,a2_b1,a2_b1,18890,18890,0,0.0,13824
case_022,2,4,a2_b1,a2_b1,14864,14864,0,0.0,38556
case_022,2,5,a2_b1,a2_b1,12835,12835,0,0.0,62016
case_022,3,2,cache_price,cache_price,28382,28353,29,0.0010217743640335009,6912
case_022,3,3,a2_b1,a2_b1,18890,18890,0,0.0,13824
case_022,3,4,a2_b1,a2_b1,14864,14864,0,0.0,38556
case_022,3,5,a2_b1,a2_b1,12692,12692,0,0.0,62016
case_023,1,2,local,local,69167,60886,8281,0.11972472421819658,133536
case_023,1,3,local,local,47433,40880,6553,0.13815276284443323,207552
case_023,1,4,local,local,35517,31009,4508,0.1269251344426613,281280
case_023,1,5,local,local,30176,25275,4901,0.1624138388123012,280992
